run_id,model_name,model_scale,method,seed,status,notes
llama-3.2-3b-instruct__efsc_stage1__seed2,llama-3.2-3b-instruct,medium,efsc_stage1,2,planned,
llama-3.2-3b-instruct__efsc_stage1__seed3,llama-3.2-3b-instruct,medium,efsc_stage1,3,planned,
llama-3.2-3b-instruct__efsc_stage1_stage2__seed1,llama-3.2-3b-instruct,medium,efsc_stage1_stage2,1,planned,
llama-3.2-3b-instruct__efsc_stage1_stage2__seed2,llama-3.2-3b-instruct,medium,efsc_stage1_stage2,2,planned,
llama-3.2-3b-instruct__efsc_stage1_stage2__seed3,llama-3.2-3b-instruct,medium,efsc_stage1_stage2,3,planned,
llama-3.2-3b-instruct__efsc_full__seed1,llama-3.2-3b-instruct,medium,efsc_full,1,planned,
llama-3.2-3b-instruct__efsc_full__seed2,llama-3.2-3b-instruct,medium,efsc_full,2,planned,
llama-3.2-3b-instruct__efsc_full__seed3,llama-3.2-3b-instruct,medium,efsc_full,3,planned,
llama-3.2-3b-instruct__efsc_no_harm_head__seed1,llama-3.2-3b-instruct,medium,efsc_no_harm_head,1,planned,
llama-3.2-3b-instruct__efsc_no_harm_head__seed2,llama-3.2-3b-instruct,medium,efsc_no_harm_head,2,planned,
llama-3.2-3b-instruct__efsc_no_harm_head__seed3,llama-3.2-3b-instruct,medium,efsc_no_harm_head,3,planned,
llama-3.2-3b-instruct__efsc_no_legit_head__seed1,llama-3.2-3b-instruct,medium,efsc_no_legit_head,1,planned,
llama-3.2-3b-instruct__efsc_no_legit_head__seed2,llama-3.2-3b-instruct,medium,efsc_no_legit_head,2,planned,
llama-3.2-3b-instruct__efsc_no_legit_head__seed3,llama-3.2-3b-instruct,medium,efsc_no_legit_head,3,planned,
llama-3.2-3b-instruct__efsc_no_uncertainty_head__seed1,llama-3.2-3b-instruct,medium,efsc_no_uncertainty_head,1,planned,
llama-3.2-3b-instruct__efsc_no_uncertainty_head__seed2,llama-3.2-3b-instruct,medium,efsc_no_uncertainty_head,2,planned,
llama-3.2-3b-instruct__efsc_no_uncertainty_head__seed3,llama-3.2-3b-instruct,medium,efsc_no_uncertainty_head,3,planned,
llama-3.2-3b-instruct__efsc_no_counterfactual__seed1,llama-3.2-3b-instruct,medium,efsc_no_counterfactual,1,planned,
llama-3.2-3b-instruct__efsc_no_counterfactual__seed2,llama-3.2-3b-instruct,medium,efsc_no_counterfactual,2,planned,
llama-3.2-3b-instruct__efsc_no_counterfactual__seed3,llama-3.2-3b-instruct,medium,efsc_no_counterfactual,3,planned,
llama-3.2-3b-instruct__efsc_no_preference__seed1,llama-3.2-3b-instruct,medium,efsc_no_preference,1,planned,
llama-3.2-3b-instruct__efsc_no_preference__seed2,llama-3.2-3b-instruct,medium,efsc_no_preference,2,planned,
llama-3.2-3b-instruct__efsc_no_preference__seed3,llama-3.2-3b-instruct,medium,efsc_no_preference,3,planned,
llama-3.2-3b-instruct__lora_baseline__seed1,llama-3.2-3b-instruct,medium,lora_baseline,1,planned,
llama-3.2-3b-instruct__lora_baseline__seed2,llama-3.2-3b-instruct,medium,lora_baseline,2,planned,
llama-3.2-3b-instruct__lora_baseline__seed3,llama-3.2-3b-instruct,medium,lora_baseline,3,planned,
